기준년월,연도,월,연월_날짜,검색건수,전체방문자,현지인방문자,외지인방문자,관광총소비_천원,검색대비방문전환율,1인당평균소비_원,10월여부
202010,2020,10,2020-10-01,225108.0,7745808.0,2807147.0,4938661.0,107096980.0,34.409,13826.0,Y
202110,2021,10,2021-10-01,293142.0,7812532.0,3011180.0,4801352.0,104874937.0,26.651,13424.0,Y
202210,2022,10,2022-10-01,375276.0,9341588.0,3476977.0,5864610.0,130447410.0,24.893,13964.0,Y
202310,2023,10,2023-10-01,373362.0,9629025.0,3698856.0,5930169.0,117219618.0,25.79,12174.0,Y
202410,2024,10,2024-10-01,304450.0,10313233.0,3810072.0,6503161.0,125516754.0,33.875,12170.0,Y
202510,2025,10,2025-10-01,423800.0,10656429.0,3860224.0,6796206.0,113119155.0,25.145,10615.0,Y
