관광지명,대분류,중분류,페르소나,페르소나_적합도점수,페르소나내_순위,Top10_여부
화성행궁,역사관광,역사유적지,시니어60+,17.4,125,N
장안문(長安門),역사관광,역사유적지,시니어60+,17.4,125,N
화홍문(華虹門),역사관광,역사유적지,시니어60+,17.4,125,N
화서공원,문화관광,도시공원,시니어60+,17.3,129,N
화성어차,체험관광,기타체험,시니어60+,17.3,129,N
화성행궁,역사관광,역사유적지,시니어60+,17.3,129,N
화성어차,체험관광,기타체험,시니어60+,17.2,132,N
서호꽃뫼공원,문화관광,도시공원,시니어60+,17.1,133,N
화홍문(華虹門),역사관광,역사유적지,시니어60+,17.0,134,N
화서문(華西門),역사관광,역사유적지,시니어60+,16.8,135,N
화홍문(華虹門),역사관광,역사유적지,시니어60+,16.7,136,N
인계예술공원,문화관광,도시공원,시니어60+,16.4,137,N
연무대(동장대),역사관광,역사유적지,시니어60+,16.3,138,N
화성어차,체험관광,기타체험,시니어60+,16.3,138,N
화성행궁,역사관광,역사유적지,시니어60+,16.3,138,N
인계예술공원,문화관광,도시공원,시니어60+,16.2,141,N
화홍문(華虹門),역사관광,역사유적지,시니어60+,16.2,141,N
수원월드컵경기장(봉녕사),역사관광,종교성지,시니어60+,16.1,143,N
효원공원,역사관광,역사유적지,시니어60+,16.1,143,N
한옥기술전시관,문화관광,전시시설,시니어60+,15.8,145,N
수원화령전,역사관광,역사유적지,시니어60+,15.6,146,N
인계예술공원,문화관광,도시공원,시니어60+,14.7,147,N
효원공원,역사관광,역사유적지,시니어60+,14.7,147,N
한옥기술전시관,문화관광,전시시설,시니어60+,14.4,149,N
수원역전시장,쇼핑,시장,시니어60+,14.4,149,N
수원향교,역사관광,역사유적지,시니어60+,14.3,151,N
효원공원,역사관광,역사유적지,시니어60+,14.3,151,N
수원향교,역사관광,역사유적지,시니어60+,14.2,153,N
효원공원,역사관광,역사유적지,시니어60+,14.2,153,N
수원화령전,역사관광,역사유적지,시니어60+,13.7,155,N
화서문(華西門),역사관광,역사유적지,시니어60+,13.3,156,N
인계예술공원,문화관광,도시공원,시니어60+,13.1,157,N
효원공원,역사관광,역사유적지,시니어60+,12.8,158,N
수원역전시장,쇼핑,시장,시니어60+,12.8,158,N
인계예술공원,문화관광,도시공원,시니어60+,12.4,160,N
수원화령전,역사관광,역사유적지,시니어60+,12.3,161,N
수원화령전,역사관광,역사유적지,시니어60+,12.1,162,N
화서문(華西門),역사관광,역사유적지,시니어60+,12.1,162,N
한옥기술전시관,문화관광,전시시설,시니어60+,11.8,164,N
효원공원,역사관광,역사유적지,시니어60+,11.7,165,N
한옥기술전시관,문화관광,전시시설,시니어60+,11.3,166,N
수원화령전,역사관광,역사유적지,시니어60+,11.0,167,N
한옥기술전시관,문화관광,전시시설,시니어60+,11.0,167,N
화서문(華西門),역사관광,역사유적지,시니어60+,11.0,167,N
수원역전시장,쇼핑,시장,시니어60+,10.8,170,N
나혜석거리,문화관광,도시.지역문화관광,시니어60+,10.3,171,N
수원화령전,역사관광,역사유적지,시니어60+,10.0,172,N
한옥기술전시관,문화관광,전시시설,시니어60+,9.8,173,N
화서문(華西門),역사관광,역사유적지,시니어60+,9.7,174,N
수원역전시장,쇼핑,시장,시니어60+,8.9,175,N
나혜석거리,문화관광,도시.지역문화관광,시니어60+,8.8,176,N
나혜석거리,문화관광,도시.지역문화관광,시니어60+,8.3,177,N
나혜석거리,문화관광,도시.지역문화관광,시니어60+,8.1,178,N
나혜석거리,문화관광,도시.지역문화관광,시니어60+,7.7,179,N
나혜석거리,문화관광,도시.지역문화관광,시니어60+,6.6,180,N
매산시장,쇼핑,시장,시니어60+,4.8,181,N
매산시장,쇼핑,시장,시니어60+,4.7,182,N
매산시장,쇼핑,시장,시니어60+,4.7,182,N
매산시장,쇼핑,시장,시니어60+,4.6,184,N
매산시장,쇼핑,시장,시니어60+,4.3,185,N
매산시장,쇼핑,시장,시니어60+,3.6,186,N
