관광지명,대분류,중분류,MZ_비중,20대여성_비중,시니어_비중,남성_총비중,HHI_쏠림지수,연령다양성,주력_성연령,주력_비율,여성_총비중
수원공방거리,문화관광,도시.지역문화관광,31.0,9.3,32.9,47.9,790.0,15.366,50대 여성 비율,11.2,52.1
수원사(수원),역사관광,종교성지,33.9,10.2,31.8,49.5,794.0,15.341,50대 남성 비율,11.7,50.5
수원시립아이파크미술관,문화관광,전시시설,49.1,21.0,20.3,40.0,980.0,15.378,20대 여성 비율,21.0,60.0
수원역전시장,쇼핑,시장,46.0,11.7,23.5,58.5,928.0,14.372,20대 남성 비율,24.5,41.5
수원영동시장,쇼핑,시장,22.2,5.6,44.5,45.5,902.0,15.053,60대 여성 비율,15.1,54.5
수원월드컵경기장(봉녕사),역사관광,종교성지,27.7,6.4,25.3,46.1,763.0,15.549,50대 여성 비율,11.4,53.9
수원통닭거리,문화관광,도시.지역문화관광,24.6,6.9,41.4,47.5,845.0,15.301,60대 여성 비율,12.9,52.5
수원향교,역사관광,역사유적지,32.1,6.9,25.8,54.8,830.0,14.959,50대 남성 비율,16.6,45.2
수원화령전,역사관광,역사유적지,62.6,28.9,10.0,36.8,1388.0,13.864,20대 여성 비율,29.9,63.2
수원화성관광특구,문화관광,복합관광시설,35.7,11.2,27.5,47.9,775.0,15.46,20대 여성 비율,11.2,52.1
수원화성박물관,문화관광,전시시설,33.9,10.2,31.8,49.5,794.0,15.343,50대 남성 비율,11.7,50.5
숙지공원,문화관광,도시공원,31.0,6.5,26.4,47.1,753.0,15.599,50대 여성 비율,11.1,52.9
연무대(동장대),역사관광,역사유적지,30.9,7.2,25.5,49.4,772.0,15.377,40대 남성 비율,12.3,50.6
인계예술공원,문화관광,도시공원,43.5,10.1,17.7,52.0,857.0,15.08,30대 남성 비율,13.6,48.0
장안문(長安門),역사관광,역사유적지,48.0,16.3,18.5,51.6,930.0,14.877,20대 여성 비율,18.3,48.4
창룡문,역사관광,역사유적지,31.6,7.5,25.7,50.2,774.0,15.38,40대 남성 비율,11.6,49.8
팔달공원,문화관광,도시공원,41.5,15.1,22.1,46.9,833.0,15.239,20대 여성 비율,17.2,53.1
팔달사(수원),역사관광,종교성지,32.3,9.4,30.3,48.3,790.0,15.375,50대 여성 비율,11.2,51.7
한옥기술전시관,문화관광,전시시설,65.2,30.0,9.8,37.5,1464.0,13.946,20대 여성 비율,30.0,62.5
화서공원,문화관광,도시공원,48.7,20.1,17.8,40.2,962.0,15.036,20대 여성 비율,21.1,59.8
화서문(華西門),역사관광,역사유적지,63.0,29.3,9.7,36.7,1411.0,14.188,20대 여성 비율,29.9,63.3
화성어차,체험관광,기타체험,53.5,23.7,17.2,39.7,1092.0,12.29,20대 여성 비율,23.7,60.3
화성행궁,역사관광,역사유적지,52.3,22.7,17.8,40.4,1054.0,14.812,20대 여성 비율,23.6,59.6
화홍문(華虹門),역사관광,역사유적지,53.7,21.6,16.2,41.5,1047.0,14.935,20대 여성 비율,21.6,58.5
효원공원,역사관광,역사유적지,42.9,11.1,16.1,49.3,849.0,15.055,20대 여성 비율,13.5,50.7
효원의종·서장대,역사관광,역사유적지,25.3,4.2,28.4,57.1,786.0,15.419,50대 남성 비율,12.5,42.9
