연도,기사수,문장수,BI_Risk_건수,활용가능Y_건수,BI_Risk_비율,활용가능Y_비율,negative_문장수,neutral_문장수,positive_문장수,연도_날짜
2024,76,929,332,38,35.7,4.1,8,851,70,2024-01-01
2025,246,5322,1806,284,33.9,5.3,14,5038,270,2025-01-01
